	Fluct DMSO_T0_0959	Fluct DMSO_T0_0960	Fluct DMSO_T0_0958	Fluct DMSO_T2_0962	Fluct DMSO_T2_0961	Fluct DMSO_T2_0963	Fluct DMSO_T8_0964	Fluct DMSO_T8_0966	Fluct DMSO_T8_0965	Fluct DMSO_T24_0968	Fluct DMSO_T24_0967	Fluct DMSO_T24_0969	Fluct DMSO_T72_0970	Fluct DMSO_T72_0972	Fluct DMSO_T72_0971	Fluct DMSO_T168_0973	Fluct DMSO_T168_0975	Fluct DMSO_T168_0974	Fluct DMSO_T240_0976	Fluct DMSO_T240_0977	Fluct DMSO_T240_0978	Fluct DMSO_T336_0979	Fluct DMSO_T336_0981	Fluct DMSO_T336_0980	DOX_Therapeutic_T2_274	DOX_Therapeutic_T2_275	DOX_Therapeutic_T2_276	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T24_282	DOX_Therapeutic_T24_280	DOX_Therapeutic_T24_281	DOX_Therapeutic_T72_284	DOX_Therapeutic_T72_283	DOX_Therapeutic_T72_285	DOX_Therapeutic_T168_286	DOX_Therapeutic_T168_288	DOX_Therapeutic_T168_287	DOX_Therapeutic_T240_290	DOX_Therapeutic_T240_291	DOX_Therapeutic_T240_289	DOX_Therapeutic_T336_292	DOX_Therapeutic_T336_294	DOX_Therapeutic_T336_293	DOX_Toxic_T2_295	DOX_Toxic_T2_296	DOX_Toxic_T2_297	DOX_Toxic_T8_299	DOX_Toxic_T8_298	DOX_Toxic_T8_300	DOX_Toxic_T24_302	DOX_Toxic_T24_301	DOX_Toxic_T24_303	DOX_Toxic_T72_306	DOX_Toxic_T72_305	DOX_Toxic_T72_304	DOX_Toxic_T168_307	DOX_Toxic_T168_308	DOX_Toxic_T168_309	DOX_Toxic_T240_311	DOX_Toxic_T240_312	DOX_Toxic_T240_310	DOX_Toxic_T336_313	DOX_Toxic_T336_315	DOX_Toxic_T336_314	EPI_Therapeutic_T2_317	EPI_Therapeutic_T2_316	EPI_Therapeutic_T2_318	EPI_Therapeutic_T8_321	EPI_Therapeutic_T8_320	EPI_Therapeutic_T8_319	EPI_Therapeutic_T24_323	EPI_Therapeutic_T24_324	EPI_Therapeutic_T24_322	EPI_Therapeutic_T72_325	EPI_Therapeutic_T72_326	EPI_Therapeutic_T72_327	EPI_Therapeutic_T168_329	EPI_Therapeutic_T168_328	EPI_Therapeutic_T168_330	EPI_Therapeutic_T240_332	EPI_Therapeutic_T240_333	EPI_Therapeutic_T240_331	EPI_Therapeutic_T336_334	EPI_Therapeutic_T336_336	EPI_Therapeutic_T336_335	EPI_Toxic_T2_338	EPI_Toxic_T2_339	EPI_Toxic_T2_337	EPI_Toxic_T8_340	EPI_Toxic_T8_341	EPI_Toxic_T8_342	EPI_Toxic_T24_344	EPI_Toxic_T24_345	EPI_Toxic_T24_343	EPI_Toxic_T72_347	EPI_Toxic_T72_348	EPI_Toxic_T72_346	EPI_Toxic_T168_349	EPI_Toxic_T168_351	EPI_Toxic_T168_350	EPI_Toxic_T240_354	EPI_Toxic_T240_353	EPI_Toxic_T240_352	EPI_Toxic_T336_355	EPI_Toxic_T336_357	EPI_Toxic_T336_356	IDA_Therapeutic_T2_211	IDA_Therapeutic_T2_213	IDA_Therapeutic_T2_212	IDA_Therapeutic_T8_214	IDA_Therapeutic_T8_215	IDA_Therapeutic_T8_216	IDA_Therapeutic_T24_217	IDA_Therapeutic_T24_218	IDA_Therapeutic_T24_219	IDA_Therapeutic_T72_222	IDA_Therapeutic_T72_221	IDA_Therapeutic_T72_220	IDA_Therapeutic_T168_223	IDA_Therapeutic_T168_224	IDA_Therapeutic_T168_225	IDA_Therapeutic_T240_228	IDA_Therapeutic_T240_227	IDA_Therapeutic_T240_226	IDA_Therapeutic_T336_230	IDA_Therapeutic_T336_229	IDA_Therapeutic_T336_231	IDA_Toxic_T2_232	IDA_Toxic_T2_233	IDA_Toxic_T8_237	IDA_Toxic_T8_236	IDA_Toxic_T8_235	IDA_Toxic_T24_238	IDA_Toxic_T24_240	IDA_Toxic_T72_242	IDA_Toxic_T72_243	IDA_Toxic_T72_241	IDA_Toxic_T168_245	IDA_Toxic_T168_246	IDA_Toxic_T168_244	DAU_Therapeutic_T0_618	DAU_Therapeutic_T0_617	DAU_Therapeutic_T0_616	DAU_Therapeutic_T240_634	DAU_Therapeutic_T240_636	DAU_Therapeutic_T240_635	DAU_Therapeutic_T168_633	DAU_Therapeutic_T168_631	DAU_Therapeutic_T168_632	DAU_Therapeutic_T72_630	DAU_Therapeutic_T72_629	DAU_Therapeutic_T72_628	DAU_Therapeutic_T24_625	DAU_Therapeutic_T24_627	DAU_Therapeutic_T24_626	DAU_Therapeutic_T8_623	DAU_Therapeutic_T8_624	DAU_Therapeutic_T8_622	DAU_Therapeutic_T2_619	DAU_Therapeutic_T2_621	DAU_Therapeutic_T2_620	DAU_Therapeutic_T336_639	DAU_Therapeutic_T336_638	DAU_Therapeutic_T336_637	DAU_Toxic_T240_657	DAU_Toxic_T240_655	DAU_Toxic_T240_656	DAU_Toxic_T168_652	DAU_Toxic_T168_654	DAU_Toxic_T168_653	DAU_Toxic_T72_649	DAU_Toxic_T72_651	DAU_Toxic_T72_650	DAU_Toxic_T24_646	DAU_Toxic_T24_647	DAU_Toxic_T24_648	DAU_Toxic_T8_643	DAU_Toxic_T8_645	DAU_Toxic_T8_644	DAU_Toxic_T2_642	DAU_Toxic_T2_641	DAU_Toxic_T2_640
sp|E9PAV3|NACAM_HUMAN	12.996011	12.885491	12.935871	13.02017	12.92297	12.866751	11.932059	12.25883	12.230472	12.780841	12.867822	12.971474	13.039474	12.838903	13.317163	12.937226	13.203655	13.028204	12.967091	13.198804	13.222366	12.925751	12.551151	12.871135	13.060206	13.012385	12.914104	13.259996	13.385929	13.290802	NaN	NaN	NaN	12.864855	12.964577	13.033267	12.905369	13.130613	13.173705	12.851731	12.943628	13.025976	13.28725	13.148089	13.514396	12.975205	13.063847	13.016074	13.46825	13.375756	13.385747	12.408542	12.567457	12.784267	12.227493	12.222289	12.413908	13.207112	13.186491	13.350083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.587093	13.59266	13.649443	12.111825	12.018317	12.322621	13.319343	13.265155	13.547874	13.509313	13.40959	13.628783	13.287738	13.276298	13.422199	13.458696	13.365864	13.5768585	14.096444	14.115422	14.07415	12.794246	12.857004	12.738119	13.202492	13.158131	13.200796	13.27144	13.444307	13.466723	13.372767	13.799263	13.731063	13.112571	13.409311	13.527653	11.732747	12.2738085	12.098621	NaN	NaN	NaN	14.108019	14.066935	14.165689	12.978291	13.215238	13.234115	13.148358	13.000825	13.23909	12.957483	12.8608885	12.747475	12.918866	12.928061	13.235265	12.786459	12.727285	12.861044	13.434427	13.036958	13.7309	NaN	NaN	13.244011	13.242516	13.036745	NaN	NaN	13.814286	13.496442	13.519371	NaN	NaN	NaN	11.772434	11.921032	11.706241	12.952718	12.432808	12.479769	12.249841	12.59762	12.60091	12.150383	12.159102	12.461435	12.565095	12.049942	12.047327	10.720454	11.061035	11.082424	12.9387455	13.095812	13.109379	12.235609	12.292651	12.28266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.974655	10.992823	11.595996	11.6233225	11.189631	11.1799965	NaN	NaN	NaN
sp|E9PAV3|NACAM_HUMAN : sp|Q13765|NACA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.707472	12.901044	12.508687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.145205	14.117609	NaN	NaN	NaN	13.772777	13.60378	13.871543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.138805	12.25383	11.307027
sp|E9PQ53|NDUCR_HUMAN : sp|O95298|NDUC2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.128964	9.343444	9.742405	8.715185	9.191328	9.701026	NaN	NaN	NaN	NaN	NaN	NaN	10.222768	8.542292	8.730033	9.301557	9.998874	9.689197	NaN	NaN	NaN	8.595006	9.815305	9.902284	10.451004	9.942747	10.252092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00116|ADAS_HUMAN	8.984465	6.603321	9.282239	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.481231	10.284896	9.226031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.052602	10.15908	8.743574	NaN	NaN	NaN	10.589287	10.150578	10.097875	NaN	NaN	NaN	9.558976	9.693282	9.345438	10.09685	10.0171585	10.029694	NaN	NaN	NaN	10.217366	9.892496	10.094966	NaN	NaN	NaN	10.309009	10.057423	10.003679	NaN	NaN	NaN	9.713574	9.789585	8.839652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.365897	9.666481	9.509922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00151|PDLI1_HUMAN	13.084395	12.712924	13.208003	13.118422	13.127922	12.569596	13.130087	12.891972	12.860802	12.761297	12.506187	12.98599	13.252095	13.1389065	13.199948	12.9332	13.213922	13.040453	13.183263	13.275656	13.356225	13.16072	13.08714	13.083639	13.947718	13.966515	14.045594	13.553886	13.615213	13.4902935	NaN	NaN	NaN	13.838344	13.837912	13.751335	13.922989	14.052771	14.220774	14.092098	14.055234	14.017432	13.977977	14.086332	14.192929	13.541137	13.563953	13.479893	14.132217	14.056591	13.863161	13.236156	13.26251	13.282128	13.5627775	13.759067	13.556248	14.153033	14.1034775	14.090805	13.757913	13.684726	13.522301	13.479104	13.325197	13.469263	13.442157	13.532654	13.526292	13.975195	13.645703	13.926325	13.324769	13.252507	13.398358	14.295713	14.20886	14.170698	13.66129	13.73281	13.828664	12.516944	12.683495	12.553933	13.945656	13.913567	13.967223	13.642253	14.160501	14.207069	14.433187	14.227026	14.447975	14.06247	14.143651	14.127689	14.373217	14.35592	14.319526	13.2677145	13.369561	13.339767	12.701175	12.3657	12.380606	NaN	NaN	NaN	NaN	NaN	NaN	14.518178	14.524663	14.668465	14.4067135	14.271652	14.244343	14.534561	14.450094	14.472816	14.282533	14.127693	14.395814	13.894408	13.777746	14.027251	13.9736	14.122682	13.87939	14.263869	13.877413	13.925689	13.96834	14.101964	14.127362	13.891035	14.221718	14.007253	14.122486	13.702949	14.04878	14.084142	13.942225	13.6622925	13.730508	13.414951	12.93319	13.279471	13.260881	13.333821	12.198321	14.097762	13.5795555	13.573986	13.8917465	14.018174	13.621573	13.666552	13.908103	13.842853	13.653924	13.328364	13.519331	14.182714	14.367905	13.586279	14.173723	14.394183	14.123595	NaN	NaN	NaN	12.571021	11.91241	12.124463	12.063626	12.210409	11.726553	13.811274	13.582583	14.174677	13.599357	13.639	13.479768	13.742669	13.1187	13.0394125
sp|O00154|BACH_HUMAN	9.4466715	9.75957	9.567751	9.011713	9.170181	9.362256	NaN	NaN	NaN	NaN	NaN	NaN	9.518509	9.127604	9.639258	9.224576	9.101405	9.114894	9.613952	10.053878	9.441503	9.961593	10.020418	9.650688	10.046682	9.965583	10.238236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.549569	10.122306	10.325852	NaN	NaN	NaN	NaN	NaN	NaN	9.722691	9.967068	9.853085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.019714	9.224657	9.839626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.201626	9.439876	9.213513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00159|MYO1C_HUMAN	10.185386	10.582645	10.15281	11.733548	11.309037	11.764829	10.095649	10.52006	10.477412	9.885855	9.736604	9.694876	11.274655	11.76182	11.583635	9.239539	9.347013	8.984227	9.797372	9.958856	9.908331	10.383586	11.544364	10.4366665	10.664773	10.768827	10.915129	11.038072	11.179816	11.13222	NaN	NaN	NaN	10.793973	10.777897	10.839381	10.480597	10.4632435	11.279655	10.673713	10.990228	10.946488	10.265672	10.273189	9.961629	10.73063	10.693896	10.51548	10.91014	11.416323	11.516444	11.617348	11.393014	11.688393	11.206684	11.303286	11.541681	11.063269	10.789321	11.082548	11.114378	10.735908	10.754295	11.629792	11.846649	11.654167	11.887309	12.063818	11.995012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.5566025	8.540431	8.5243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.922342	11.199231	10.773006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.100815	10.7093725	10.715688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.572641	10.219699	10.163452	10.716487	10.85888	10.690527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.128725	9.892762	9.84578	NaN	NaN	NaN	10.107471	10.337427	10.072053
sp|O00170|AIP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	9.444134	8.957206	9.341427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00192|ARVC_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.476834	9.600663	9.3939085	8.864465	8.614187	8.042015	10.139482	9.743403	10.2795	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00194|RB27B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.3313875	9.793747	9.629078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00203|AP3B1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.208939	6.7525153	7.379737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.389611	9.36148	8.974897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00217|NDUS8_HUMAN	12.760505	13.051368	12.660528	13.050021	12.930637	12.703083	13.017807	12.79667	12.468766	12.447602	12.590646	13.073604	13.767942	12.755551	13.431053	12.916493	13.331559	12.73341	13.10421	12.991161	13.011025	12.908148	12.681369	12.368152	11.764272	10.859428	11.549907	13.113121	13.464131	13.302601	NaN	NaN	NaN	12.8931055	13.022357	13.098736	13.281907	13.324	13.472818	13.75421	13.544036	13.565347	13.457706	13.46611	13.251597	13.922994	13.712239	13.6399765	12.644341	12.637035	12.949292	12.824136	13.000782	12.982149	13.058502	12.997415	13.005336	13.086136	13.02423	12.972793	13.367427	13.416433	13.49811	13.474579	13.519761	13.451841	12.738782	12.662489	12.8453045	13.057837	12.81726	12.850852	12.857881	12.830738	12.807561	12.634099	12.866314	13.036676	12.866772	12.884583	13.138383	12.794831	12.694569	12.920787	12.649641	12.822254	12.758749	12.80066	12.9879265	12.8738	12.668383	12.825363	12.8135195	12.51029	12.620924	12.769959	12.684105	12.64006	12.939577	13.679912	13.891657	13.864572	13.389183	13.326289	13.490522	12.830805	13.111713	13.259859	13.183205	13.19131	12.399202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.653474	11.360766	11.530919	11.429216	11.407545	11.0387535	NaN	NaN	NaN	11.901058	11.801356	NaN	NaN	NaN	12.365271	12.231341	12.643977	12.557346	12.052344	12.690996	12.492116	12.311409	11.87124	12.193575	12.211178	12.432435	12.343428	12.835661	12.229297	12.3310795	12.60886	11.929601	11.991533	12.147956	12.084025	12.092338	12.103341	11.841833	11.805393	12.082728	11.936286	12.210757	12.284386	12.201179	12.477735	12.517015	NaN	NaN	NaN	12.08045	12.299527	12.702498	11.503059	12.168798	12.114259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|O00231|PSD11_HUMAN	11.863544	11.868005	11.366793	11.452971	11.309906	11.517614	11.117862	11.118877	11.071874	9.879465	9.706937	9.627065	11.607218	11.95212	11.237751	11.1229925	11.187534	11.143976	11.114584	10.945681	11.105478	11.302147	11.306574	11.697353	10.729449	10.831241	10.943034	11.057155	11.224554	11.207427	NaN	NaN	NaN	10.478016	10.784435	10.719137	11.286671	11.299274	10.454057	11.334515	11.427821	11.187724	11.038907	11.079674	11.193901	11.091468	11.139471	11.187977	11.695342	11.588423	11.51545	11.675203	11.779489	11.957261	11.265896	11.372355	11.215471	11.549849	11.5366955	11.348885	11.740288	11.67322	11.636849	NaN	NaN	NaN	NaN	NaN	NaN	10.458513	10.6018	10.243126	10.619193	10.894427	11.035686	11.286131	11.328603	11.521737	11.234181	11.504464	11.305453	11.237909	11.140932	11.157683	NaN	NaN	NaN	10.571949	10.78924	10.627559	11.212337	10.979155	11.133287	10.706252	11.210846	11.123768	NaN	NaN	NaN	NaN	NaN	NaN	10.545834	10.570068	10.795363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.157322	11.056221	11.081739	11.453814	11.161548	11.0421715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.029278	10.693419	10.716954	11.2706995	11.128502	10.7253475	10.735588	10.63942	11.148328	11.0212	11.3098345	10.981242	11.065163	NaN	NaN	NaN	NaN	NaN	NaN	10.596232	10.49318	10.541484	NaN	NaN	NaN	NaN	NaN	NaN	10.767859	10.828402	10.852547	11.181555	11.050569	11.254801	11.6111765	11.437168	10.9414835	11.576713	11.40556	11.514835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
