"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"P22234",NA,"brown",2,FALSE,FALSE
"P22307","blue","brown",3,FALSE,FALSE
"P22314","yellow","turquoise",3,FALSE,TRUE
"P22352",NA,"red",2,FALSE,TRUE
"P22392","yellow","black",3,FALSE,FALSE
"P22626","yellow","brown",3,FALSE,TRUE
"P22695","blue","blue",3,FALSE,FALSE
"P22830",NA,"pink",2,FALSE,FALSE
"P23141",NA,"blue",2,FALSE,FALSE
"P23142",NA,"red",2,FALSE,FALSE
"P23246","turquoise","red",3,FALSE,FALSE
"P23284","blue","red",3,FALSE,TRUE
"P23297",NA,"green",2,TRUE,TRUE
"P23327","blue","brown",3,TRUE,FALSE
"P23368","blue","green",3,FALSE,FALSE
"P23381",NA,"blue",2,FALSE,FALSE
"P23396","blue","red",3,FALSE,FALSE
"P23434",NA,"brown",2,FALSE,FALSE
"P23458",NA,"blue",2,FALSE,TRUE
"P23526","green","yellow",3,FALSE,FALSE
"P23528","turquoise","green",3,FALSE,TRUE
"P23588","turquoise","blue",3,FALSE,TRUE
"P23634","green","turquoise",3,TRUE,FALSE
"P23786","green","turquoise",3,TRUE,FALSE
"P23946",NA,"blue",2,TRUE,FALSE
"P24043",NA,"green",2,FALSE,FALSE
"P24298",NA,"turquoise",2,TRUE,FALSE
"P24310",NA,"green",2,FALSE,FALSE
"P24311",NA,"yellow",2,FALSE,FALSE
"P24534","blue","blue",3,FALSE,FALSE
"P24539","blue","green",3,FALSE,TRUE
"P24666",NA,"red",2,FALSE,FALSE
"P24752","brown","red",3,FALSE,FALSE
